car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
aixam,2019,Inny,,2,,Zielony,Automatyczna,,4 KM,,Elektryczny,Auta małe,Używany,4 000 km,Tak,Inny,Tak,Tak,10 500
aixam,2021,Inny,,2,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,14 595 km,,,Tak,Tak,29 900
aixam,2024,City,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,,Diesel,Auta małe,Nowy,1 km,Tak,,,,73 999
aixam,2019,Crossover,,3,,Niebieski,Automatyczna,479 cm3,6 KM,,Diesel,Auta małe,Używany,33 592 km,,,Tak,,39 700
aixam,2023,Inny,,5,2,Niebieski,Automatyczna,,10 KM,Na tylne koła,Elektryczny,Auta małe,Nowy,1 km,Tak,,,,38 900
aixam,2024,City,,2,2,Błękitny,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Nowy,1 km,Tak,Francja,,,65 530
aixam,2021,City,,3,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,9 200 km,,,,,46 900
aixam,2012,Crossline,,3,,Srebrny,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,49 000 km,,,Tak,,22 700
aixam,2022,City,,2,2,Inny kolor,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,14 200 km,,,,,43 000
aixam,2014,City,,3,2,Biały,Automatyczna,523 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,139 000 km,Tak,,,Tak,24 500
aixam,2020,City,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,34 000 km,,,,Tak,39 900
aixam,2010,Crossline,,2,,Beżowy,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,56 137 km,,Francja,,,15 900
aixam,2014,City,,3,2,Biały,Automatyczna,505 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,30 000 km,Tak,,,Tak,29 500
aixam,2017,City,,3,2,Niebieski,Automatyczna,400 cm3,4 KM,,Diesel,Auta małe,Używany,17 500 km,,,Tak,,22 500
aixam,2019,City,,3,2,Szary,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,13 490 km,,,,Tak,34 900
aixam,2012,City,,3,,Granatowy,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,60 982 km,Tak,,Tak,Tak,18 900
aixam,2022,Inny,,3,2,Biały,Automatyczna,479 cm3,8 KM,,Diesel,Auta małe,Używany,7 564 km,,,Tak,Tak,39 900
aixam,2024,Coupe,,3,2,Niebieski,Automatyczna,,8 KM,Na przednie koła,Elektryczny,Auta małe,Nowy,1 km,Tak,Polska,,,84 600
aixam,2012,Crossover,,3,4,Srebrny,Automatyczna,599 cm3,15 KM,Na przednie koła,Diesel,Auta miejskie,Używany,65 775 km,,,Tak,,27 999
aixam,2015,Crossover,,2,4,Inny kolor,Automatyczna,600 cm3,15 KM,Na przednie koła,Diesel,Auta małe,Używany,56 533 km,,,,,44 500
aixam,2023,City,,3,,Biały,Automatyczna,479 cm3,8 KM,,Diesel,Auta małe,Używany,6 000 km,,,,,43 500
aixam,2022,City,,2,,Szary,Automatyczna,,8 KM,,Elektryczny,Auta małe,Używany,6 000 km,,,,,33 900
aixam,2004,Inny,,3,4,Srebrny,Automatyczna,505 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,38 223 km,,,Tak,Tak,9 999
aixam,2008,City,,2,2,Srebrny,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,54 000 km,Tak,Francja,Tak,,17 500
aixam,2021,City,,2,2,Granatowy,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,42 406 km,,Francja,Tak,,38 900
aixam,2021,Crossline,,3,,Biały,Automatyczna,599 cm3,15 KM,,Diesel,Auta małe,Używany,20 400 km,,,,,71 200
aixam,2012,Coupe,,3,,Granatowy,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,29 615 km,,,,,27 500
aixam,2015,Inny,,3,,Biały,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,39 000 km,,,Tak,,20 700
aixam,2023,City,,2,,Błękitny,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,6 502 km,,,,,43 900
aixam,2014,City,,3,,Szary,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,31 132 km,,,,,26 500
aixam,2017,Crossline,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,23 000 km,Tak,,Tak,,33 700
aixam,2024,Coupe,,3,2,Szary,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Coupe,Nowy,1 km,Tak,,,,84 400
aixam,2007,City,,3,2,Inny kolor,Automatyczna,523 cm3,5 KM,Na przednie koła,Diesel,Auta miejskie,Używany,59 000 km,,,Tak,,9 900
aixam,2022,City,,2,2,Czarny,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,17 800 km,,,,,44 000
aixam,2021,City,,3,,Biały,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,11 000 km,,,,,29 900
aixam,2010,Crossline,,3,4,Niebieski,Automatyczna,599 cm3,15 KM,,Diesel,Auta małe,Używany,42 100 km,,,Tak,,29 700
aixam,2013,City,,3,4,Granatowy,Automatyczna,599 cm3,15 KM,Na przednie koła,Diesel,Auta małe,Używany,64 500 km,,,Tak,Tak,32 900
aixam,2016,Coupe,,3,2,Czerwony,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,50 600 km,,Francja,Tak,Tak,22 500
aixam,2019,City,,2,2,Biały,Automatyczna,479 cm3,8 KM,,Diesel,Auta miejskie,Używany,47 000 km,,,Tak,,27 000
aixam,2017,Coupe,,3,2,Biały,Automatyczna,480 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,30 600 km,,,,,36 800
aixam,2023,City,,3,2,Biały,Automatyczna,480 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,7 000 km,,,,,37 800
aixam,2022,Coupe,,3,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,8 741 km,Tak,Polska,Tak,Tak,62 730
aixam,2022,Crossover,,2,,Niebieski,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,11 000 km,,,,,42 900
aixam,2016,City,,2,2,Granatowy,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,94 316 km,,,Tak,,24 500
aixam,2024,Inny,,3,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta miejskie,Nowy,550 km,Tak,Polska,,Tak,48 900
aixam,2019,City,,2,2,Biały,Automatyczna,,4 KM,Na przednie koła,Elektryczny,Auta małe,Używany,869 km,Tak,Polska,Tak,Tak,19 900
