car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
chevrolet,2013,Trax,1.4T Automatik LT+,5,5,Szary,Automatyczna,1 364 cm3,140 KM,Na przednie koła,Benzyna,SUV,Używany,164 000 km,Tak,Belgia,,,38 900
chevrolet,2013,Trax,1.4T AWD LT+,5,5,Inny kolor,Manualna,1 364 cm3,140 KM,4x4 (stały),Benzyna,SUV,Używany,83 700 km,Tak,Niemcy,Tak,,40 900
chevrolet,2007,Avalanche,5.3 LS 4WD,4,5,Biały,Automatyczna,5 328 cm3,320 KM,4x4 (dołączany ręcznie),Benzyna,SUV,Używany,245 100 km,,Stany Zjednoczone,Tak,Tak,49 900
chevrolet,2010,Spark,1.0 Base,5,,Czarny,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,118 000 km,,,,,13 900
chevrolet,2012,Captiva,2.2 d LT,5,7,Srebrny,Manualna,2 231 cm3,183 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,196 000 km,,,Tak,,34 900
chevrolet,2013,Cruze,,5,5,Czarny,Manualna,1 998 cm3,163 KM,Na przednie koła,Diesel,Kombi,Używany,243 000 km,Tak,Niemcy,Tak,,20 990
chevrolet,2005,Nubira,1.6 Kombi SE,5,5,Srebrny,Manualna,1 598 cm3,109 KM,Na przednie koła,Benzyna+LPG,Kombi,Używany,149 000 km,,,Tak,,9 500
chevrolet,2011,Spark,1.2 LS+,5,5,Biały,Manualna,1 206 cm3,82 KM,Na przednie koła,Benzyna,Auta małe,Używany,176 000 km,Tak,Niemcy,Tak,Tak,13 900
chevrolet,2007,Monte Carlo,,2,5,Bordowy,Automatyczna,3 500 cm3,202 KM,,Benzyna,Coupe,Używany,141 000 km,Tak,Niemcy,Tak,,18 800
chevrolet,2013,Orlando,1.8 LS,5,7,Srebrny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna+LPG,SUV,Używany,371 000 km,Tak,Polska,Tak,Tak,23 500
chevrolet,2011,Cruze,1.6 LS,4,,Szary,Manualna,1 598 cm3,113 KM,Na przednie koła,Benzyna,Kompakt,Używany,137 000 km,Tak,Austria,Tak,Tak,22 800
chevrolet,2022,Camaro,,2,4,Czarny,Automatyczna,6 200 cm3,455 KM,Na tylne koła,Benzyna,Coupe,Używany,590 km,,,Tak,,169 900
chevrolet,2018,Camaro,,2,4,Czarny,Automatyczna,6 162 cm3,453 KM,,Benzyna,Coupe,Używany,130 000 km,,,Tak,,98 000
chevrolet,2015,Camaro,3.6 V6 Coupe 2LT,2,4,Żółty,Automatyczna,3 600 cm3,323 KM,Na tylne koła,Benzyna,Coupe,Używany,108 000 km,,Stany Zjednoczone,,Tak,75 999
chevrolet,2011,Cruze,2.0 D LT,5,5,Szary,Manualna,1 998 cm3,163 KM,Na przednie koła,Diesel,Sedan,Używany,204 000 km,,,Tak,Tak,18 000
chevrolet,2012,Aveo,1.2 LT+,4,5,Srebrny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Sedan,Używany,131 000 km,Tak,Polska,Tak,Tak,14 900
chevrolet,2013,Trax,1.7TD LT,5,5,Biały,Manualna,1 686 cm3,130 KM,Na przednie koła,Diesel,SUV,Używany,160 000 km,,,Tak,,35 900
chevrolet,2013,Cruze,,5,5,Szary,Manualna,1 364 cm3,140 KM,Na przednie koła,Benzyna,Kombi,Używany,199 224 km,Tak,,,Tak,27 000
chevrolet,2011,Spark,1.0 Base,5,,Czerwony,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,519 270 km,Tak,Polska,Tak,Tak,2 999
chevrolet,2009,Silverado,,2,3,Szary,Automatyczna,4 300 cm3,268 KM,4x4 (dołączany ręcznie),Benzyna+LPG,SUV,Używany,294 000 km,,Stany Zjednoczone,Tak,Tak,41 900
chevrolet,2010,Aveo,,4,5,Srebrny,Manualna,1 206 cm3,84 KM,Na przednie koła,Benzyna,Sedan,Używany,82 000 km,Tak,Polska,Tak,Tak,10 900
chevrolet,2009,Matiz,,5,5,Czerwony,Manualna,796 cm3,52 KM,,Benzyna,Auta miejskie,Używany,188 000 km,,,Tak,,5 200
chevrolet,2012,Orlando,1.8 Automatik LTZ,5,7,Srebrny,Automatyczna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Minivan,Używany,217 000 km,Tak,Niemcy,Tak,,23 800
chevrolet,2014,Spark,,5,5,Inny kolor,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,83 500 km,Tak,Austria,Tak,Tak,22 000
chevrolet,2009,Captiva,2.0 4WD 5 Sitzer LS,5,7,Szary,Manualna,1 991 cm3,150 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,230 000 km,,,Tak,,14 900
chevrolet,2012,Captiva,2.2 Diesel 2WD LT,5,,Biały,Manualna,2 231 cm3,163 KM,Na przednie koła,Diesel,SUV,Używany,145 500 km,,,Tak,,32 000
chevrolet,2005,Matiz,,5,5,Inny kolor,Manualna,995 cm3,67 KM,,Benzyna,Auta małe,Używany,92 000 km,,,Tak,Tak,4 700
chevrolet,2012,Aveo,1.3 D LTZ S/S,5,5,Srebrny,Manualna,1 248 cm3,95 KM,Na przednie koła,Diesel,Kompakt,Używany,203 000 km,,,Tak,,9 300
chevrolet,2010,Cruze,1.8 LS,4,5,Srebrny,Automatyczna,1 796 cm3,141 KM,Na przednie koła,Benzyna+LPG,Sedan,Używany,171 500 km,Tak,Belgia,Tak,Tak,23 200
chevrolet,2007,Matiz,0.8 Automatik S,5,5,Zielony,Automatyczna,796 cm3,52 KM,Na przednie koła,Benzyna,Auta małe,Używany,59 995 km,Tak,Niemcy,Tak,,8 950
chevrolet,2011,Aveo,1.2 LS,5,5,Brązowy,Manualna,1 229 cm3,70 KM,Na przednie koła,Benzyna,Kompakt,Używany,130 000 km,,Polska,Tak,Tak,17 900
chevrolet,2012,Cruze,1.6 LT,5,5,Srebrny,Manualna,1 598 cm3,124 KM,Na przednie koła,Benzyna,Kompakt,Używany,167 500 km,Tak,Polska,Tak,Tak,23 900
chevrolet,2015,Camaro,3.6 V6 Coupe 2LT,2,4,Granatowy,Automatyczna,3 600 cm3,323 KM,Na tylne koła,Benzyna,Coupe,Używany,92 000 km,,Stany Zjednoczone,Tak,Tak,72 000
chevrolet,2011,Spark,1.2 EcoLogic LS+,5,5,Czarny,Manualna,1 206 cm3,82 KM,Na przednie koła,Benzyna,Auta małe,Używany,142 000 km,Tak,Niemcy,Tak,,15 900
chevrolet,2012,Cruze,1.8 LT,5,5,Czarny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Coupe,Używany,149 500 km,Tak,Niemcy,Tak,Tak,23 800
chevrolet,2010,Matiz,,5,5,Czarny,Manualna,995 cm3,67 KM,,Benzyna,Auta małe,Używany,186 688 km,,,Tak,,7 300
chevrolet,2007,Captiva,3.2 4WD 7 Sitzer LT,5,7,Srebrny,Automatyczna,3 195 cm3,230 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,209 000 km,Tak,Szwecja,Tak,Tak,23 900
chevrolet,1979,Corvette,,2,2,Srebrny,Automatyczna,5 733 cm3,145 KM,Na tylne koła,Benzyna,Coupe,Używany,82 000 km,Tak,Kanada,,Tak,69 900
chevrolet,2006,Captiva,2.4 2WD 7 Sitzer LS Family Edition,5,7,Czarny,Manualna,2 405 cm3,136 KM,Na przednie koła,Benzyna,SUV,Używany,269 000 km,Tak,,Tak,,8 900
chevrolet,2023,Corvette,,2,,Czerwony,Automatyczna,5 500 cm3,680 KM,,Benzyna,Kabriolet,Nowy,600 km,Tak,,,Tak,999 999
chevrolet,2013,Orlando,1.4 T LTZ,5,7,Brązowy,Manualna,1 362 cm3,140 KM,,Benzyna,Kombi,Używany,106 950 km,Tak,Niemcy,Tak,Tak,37 900
chevrolet,2012,Aveo,1.2 LS,5,5,Czarny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Kompakt,Używany,195 000 km,,,Tak,,14 700
chevrolet,2005,Corvette,6.0 V8,2,2,Niebieski,Manualna,5 967 cm3,404 KM,Na tylne koła,Benzyna,Coupe,Używany,104 328 km,,Stany Zjednoczone,Tak,Tak,140 000
chevrolet,2013,Trax,1.6 LT,5,5,Szary,Manualna,1 598 cm3,115 KM,Na przednie koła,Benzyna,SUV,Używany,165 000 km,Tak,Polska,Tak,Tak,34 900
chevrolet,2007,Aveo,,4,5,Złoty,Manualna,1 598 cm3,106 KM,Na przednie koła,Benzyna,Sedan,Używany,183 408 km,,,Tak,,9 900
chevrolet,2013,Trax,1.4T AWD LT,5,5,Niebieski,Manualna,1 364 cm3,140 KM,4x4 (stały),Benzyna,SUV,Używany,117 830 km,Tak,Niemcy,Tak,Tak,38 900
chevrolet,2010,Spark,,5,5,Czerwony,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,165 715 km,,,,,9 900
chevrolet,2021,Corvette,Stingray 3LT 6.2 V8 Automatik,3,2,Niebieski,Automatyczna,6 162 cm3,482 KM,Na tylne koła,Benzyna,Coupe,Używany,11 000 km,,Stany Zjednoczone,,Tak,449 000
chevrolet,2013,Trax,,5,5,Szary,Manualna,1 686 cm3,130 KM,Na przednie koła,Diesel,SUV,Używany,182 290 km,Tak,Belgia,,,31 900
chevrolet,2012,Captiva,3.0 4WD LTZ,5,7,Szary,Automatyczna,2 997 cm3,258 KM,4x4 (stały),Benzyna,SUV,Używany,177 000 km,Tak,Szwajcaria,Tak,,39 900
chevrolet,2000,Corvette,,2,2,Czerwony,Manualna,5 665 cm3,348 KM,Na tylne koła,Benzyna,Coupe,Używany,165 300 km,,,,Tak,94 900
chevrolet,2006,Nubira,,5,5,Niebieski,Manualna,1 800 cm3,121 KM,Na przednie koła,Benzyna,Kombi,Używany,222 000 km,,,,,8 900
chevrolet,2023,Tahoe,,5,7,Czarny,Automatyczna,6 162 cm3,426 KM,4x4 (stały),Benzyna,SUV,Używany,9 600 km,,Niemcy,Tak,Tak,390 000
chevrolet,2015,Corvette,,3,2,Biały,Manualna,6 162 cm3,659 KM,Na tylne koła,Benzyna,Coupe,Używany,81 000 km,,,Tak,,240 000
chevrolet,2010,Spark,1.0 LS A/C,5,5,Błękitny,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,142 000 km,Tak,Holandia,,,12 999
chevrolet,2012,Cruze,1.8 LTZ,5,5,Biały,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Kompakt,Używany,193 212 km,Tak,Szwajcaria,Tak,,24 900
chevrolet,2010,Cruze,1.8 LT,4,5,Srebrny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Sedan,Używany,182 530 km,Tak,Niemcy,Tak,Tak,16 000
chevrolet,2023,Silverado,,4,5,Biały,Automatyczna,3 000 cm3,305 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,25 508 km,,,,,145 000
chevrolet,2013,Aveo,1.2 LS+,5,5,Niebieski,Manualna,1 229 cm3,69 KM,Na przednie koła,Benzyna,Auta małe,Używany,76 000 km,,,,,17 999
chevrolet,2012,Cruze,,4,5,Szary,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Sedan,Używany,191 036 km,Tak,Polska,,Tak,26 000
chevrolet,2011,Orlando,2.0 D LS+,5,,Srebrny,Manualna,1 998 cm3,130 KM,Na przednie koła,Diesel,Minivan,Używany,128 000 km,,,,,9 500
chevrolet,2013,Orlando,1.4 T LT+,5,7,Inny kolor,Manualna,1 362 cm3,140 KM,Na przednie koła,Benzyna,Minivan,Używany,198 000 km,Tak,Szwajcaria,,,27 999
chevrolet,2012,Orlando,,5,7,Szary,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Minivan,Używany,179 000 km,Tak,Niemcy,Tak,Tak,28 500
chevrolet,1993,Camaro,,2,4,Czerwony,Automatyczna,5 666 cm3,275 KM,Na tylne koła,Benzyna,Coupe,Używany,144 000 km,Tak,Szwecja,Tak,Tak,36 000
chevrolet,2011,Captiva,2.2 d LTZ,5,7,Złoty,Manualna,2 231 cm3,183 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,201 500 km,Tak,Niemcy,Tak,Tak,32 800
chevrolet,2022,Corvette,,2,2,Czerwony,Automatyczna,5 463 cm3,670 KM,Na tylne koła,Benzyna,Kabriolet,Używany,3 200 km,Tak,Stany Zjednoczone,,Tak,859 900
chevrolet,2016,Corvette,,2,2,Srebrny,Automatyczna,6 162 cm3,466 KM,Na tylne koła,Benzyna,Coupe,Używany,47 000 km,,Stany Zjednoczone,Tak,Tak,189 500
chevrolet,2013,Orlando,1.4T LT+,5,7,Czarny,Manualna,1 362 cm3,140 KM,Na przednie koła,Benzyna,Minivan,Używany,162 000 km,Tak,Niemcy,,,26 800
chevrolet,2012,Aveo,1.3 D LT,5,5,Czarny,Manualna,1 248 cm3,95 KM,Na przednie koła,Diesel,Kompakt,Używany,195 870 km,Tak,Polska,Tak,Tak,13 800
chevrolet,2008,Aveo,,3,5,Niebieski,Manualna,1 206 cm3,84 KM,Na przednie koła,Benzyna,Auta małe,Używany,221 701 km,Tak,Niemcy,Tak,Tak,4 500
chevrolet,2019,Corvette,,2,2,Pomarańczowy,Automatyczna,6 162 cm3,467 KM,Na tylne koła,Benzyna,Coupe,Używany,18 000 km,,,Tak,Tak,253 200
chevrolet,2017,Camaro,,2,4,Czerwony,Automatyczna,6 162 cm3,455 KM,Na tylne koła,Benzyna,Kabriolet,Używany,124 500 km,Tak,Stany Zjednoczone,Tak,Tak,165 000
chevrolet,2012,Cruze,,5,5,Biały,Manualna,1 364 cm3,140 KM,Na przednie koła,Benzyna,Kombi,Używany,138 200 km,Tak,Niemcy,Tak,Tak,26 900
chevrolet,1991,Corvette,,2,2,Czarny,Manualna,5 666 cm3,350 KM,Na tylne koła,Benzyna,Coupe,Używany,23 500 km,Tak,Szwajcaria,,Tak,159 900
chevrolet,2008,Corvette,6.0 V8,2,2,Bordowy,Automatyczna,5 967 cm3,404 KM,Na tylne koła,Benzyna,Coupe,Używany,182 000 km,,,Tak,,128 000
chevrolet,2010,Spark,,5,5,Srebrny,Manualna,1 206 cm3,82 KM,Na przednie koła,Benzyna,Auta małe,Używany,189 975 km,Tak,,,Tak,13 900
chevrolet,2006,Corvette,6.0 V8,2,5,Szary,Automatyczna,5 967 cm3,404 KM,Na tylne koła,Benzyna,Coupe,Używany,180 000 km,,Stany Zjednoczone,Tak,Tak,109 000
chevrolet,2009,Captiva,,5,5,Złoty,Manualna,2 405 cm3,136 KM,,Benzyna+LPG,SUV,Używany,167 000 km,,,Tak,,20 900
chevrolet,2009,Cruze,2.0 VDCi Base,4,5,Czarny,Manualna,1 991 cm3,125 KM,Na przednie koła,Diesel,Sedan,Używany,266 000 km,Tak,Polska,Tak,Tak,15 500
chevrolet,2014,Trax,,5,5,Srebrny,Manualna,1 364 cm3,140 KM,Na przednie koła,Benzyna,SUV,Używany,165 000 km,Tak,Niemcy,Tak,,35 900
chevrolet,2011,Cruze,1.6 LS+,5,5,Beżowy,Manualna,1 598 cm3,124 KM,Na przednie koła,Benzyna,Kompakt,Używany,38 000 km,Tak,Polska,Tak,Tak,39 950
chevrolet,2020,Corvette,,3,2,Szary,Automatyczna,6 200 cm3,500 KM,Na tylne koła,Benzyna,Coupe,Używany,20 000 km,,Stany Zjednoczone,Tak,Tak,400 000
chevrolet,2010,Aveo,,5,5,Szary,Manualna,1 229 cm3,86 KM,,Benzyna,Auta miejskie,Używany,120 365 km,Tak,Niemcy,Tak,,11 900
chevrolet,2011,Cruze,2.0 VDCi LT,4,5,Biały,Automatyczna,1 998 cm3,163 KM,Na przednie koła,Diesel,Sedan,Używany,156 000 km,,,Tak,,20 800
chevrolet,2007,Corvette,6.0 V8,2,2,Srebrny,Manualna,5 967 cm3,404 KM,Na tylne koła,Benzyna,Coupe,Używany,138 500 km,,Stany Zjednoczone,Tak,Tak,109 000
chevrolet,2011,Spark,1.2 LS+ Design,5,5,Czarny,Manualna,1 206 cm3,81 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,128 000 km,Tak,Dania,Tak,,15 900
chevrolet,2009,Cruze,1.6 LS,4,5,Złoty,Manualna,1 598 cm3,113 KM,Na przednie koła,Benzyna,Sedan,Używany,147 000 km,Tak,Polska,Tak,Tak,13 500
chevrolet,2012,Spark,1.0 LS+,5,5,Czarny,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,77 645 km,Tak,Belgia,Tak,Tak,15 000
chevrolet,2011,Captiva,2.4 2WD LT,5,7,Srebrny,Manualna,2 384 cm3,167 KM,Na przednie koła,Benzyna,SUV,Używany,205 000 km,,,Tak,,16 999
chevrolet,2022,Camaro,,2,,Biały,Automatyczna,6 200 cm3,650 KM,,Benzyna,Coupe,Używany,53 000 km,,,Tak,Tak,279 000
chevrolet,2015,Camaro,3.6 V6 Coupe 1LS,2,4,Czarny,Manualna,3 600 cm3,323 KM,Na tylne koła,Benzyna,Coupe,Używany,81 000 km,,,Tak,,64 500
chevrolet,2013,Cruze,1.8 LT,5,5,Biały,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna+LPG,Sedan,Używany,185 000 km,,,,,23 900
chevrolet,2017,Volt,,5,5,Inny kolor,Automatyczna,1 398 cm3,86 KM,,Benzyna,Coupe,Używany,92 784 km,,,Tak,,64 900
chevrolet,2015,Corvette,Stingray 3LT 6.2 V8 Cabrio Automatik,2,2,Czarny,Automatyczna,6 162 cm3,466 KM,Na tylne koła,Benzyna,Coupe,Używany,135 000 km,,,Tak,,199 000
chevrolet,2013,Spark,1.2 LS,5,5,Beżowy,Manualna,1 206 cm3,81 KM,Na przednie koła,Benzyna,Auta małe,Używany,88 000 km,,,Tak,,19 000
chevrolet,2010,Cruze,1.6 LS,4,5,Czarny,Manualna,1 598 cm3,113 KM,Na przednie koła,Benzyna,Sedan,Używany,215 000 km,Tak,,,Tak,19 999
chevrolet,2011,Cruze,1.8 LS (klm),4,5,Srebrny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Sedan,Używany,185 000 km,Tak,Niemcy,,Tak,22 900
chevrolet,2007,Captiva,,5,7,Srebrny,Manualna,2 405 cm3,136 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,82 000 km,Tak,Szwecja,Tak,,19 500
chevrolet,2011,Aveo,1.2 16V Base,5,5,Czerwony,Manualna,1 206 cm3,84 KM,Na przednie koła,Benzyna+LPG,Auta małe,Używany,160 000 km,Tak,Polska,Tak,Tak,11 500
chevrolet,2010,Spark,1.0 Base+,5,5,Niebieski,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,79 835 km,Tak,Niemcy,Tak,,11 900
chevrolet,2011,Aveo,1.2 LT,5,5,Srebrny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Kompakt,Używany,184 000 km,,,,Tak,15 900
chevrolet,2021,Corvette,Stingray Cabriolet 3LT 6.2 V8 Automatik,3,,Biały,Automatyczna,6 162 cm3,482 KM,Na tylne koła,Benzyna,Kabriolet,Używany,45 900 km,,,Tak,Tak,429 000
chevrolet,2011,Orlando,2.0 TD LT+,5,7,Szary,Manualna,1 998 cm3,163 KM,Na przednie koła,Diesel,Minivan,Używany,190 000 km,Tak,Niemcy,Tak,Tak,23 900
chevrolet,2014,Traverse,,5,7,Biały,Automatyczna,3 564 cm3,285 KM,4x4 (stały),Benzyna,SUV,Używany,109 000 km,Tak,Stany Zjednoczone,Tak,Tak,56 900
chevrolet,2007,Lacetti,2.0 TCDi Platinum,5,5,Złoty,Manualna,1 991 cm3,121 KM,Na przednie koła,Diesel,Kombi,Używany,340 000 km,Tak,,,Tak,4 990
chevrolet,2011,Orlando,2.0 TD LT+,5,7,Czarny,Manualna,1 998 cm3,163 KM,Na przednie koła,Diesel,Minivan,Używany,96 000 km,Tak,Polska,,Tak,42 500
chevrolet,1999,Tahoe,,5,5,Niebieski,Automatyczna,5 733 cm3,258 KM,,Benzyna,SUV,Używany,226 000 km,,,Tak,,29 500
chevrolet,2011,Aveo,1.2 LS,5,,Srebrny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Auta małe,Używany,172 000 km,,,Tak,,18 900
chevrolet,2015,Silverado,,4,5,Czarny,Automatyczna,6 200 cm3,420 KM,4x4 (dołączany ręcznie),Benzyna,SUV,Używany,140 321 km,,Stany Zjednoczone,Tak,Tak,124 000
chevrolet,2013,Orlando,2.0 TD LTZ+,5,7,Czarny,Automatyczna,1 998 cm3,163 KM,Na przednie koła,Diesel,Minivan,Używany,256 000 km,Tak,Niemcy,Tak,Tak,27 900
chevrolet,2013,Spark,1.0 LS,5,5,Żółty,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,87 190 km,,Polska,Tak,Tak,13 900
chevrolet,2007,Captiva,,5,7,Czarny,Manualna,1 991 cm3,150 KM,4x4 (dołączany ręcznie),Diesel,SUV,Używany,228 000 km,Tak,Szwajcaria,Tak,Tak,18 999
chevrolet,1992,Corsica,,4,5,Bordowy,Automatyczna,2 190 cm3,120 KM,Na przednie koła,Benzyna,Sedan,Używany,42 200 km,Tak,Belgia,Tak,Tak,16 900
chevrolet,2010,Spark,,5,5,Błękitny,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,46 500 km,Tak,Niemcy,Tak,Tak,14 900
chevrolet,2011,Aveo,,5,5,Czarny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Auta małe,Używany,183 000 km,,Niemcy,Tak,Tak,13 800
chevrolet,2013,Captiva,2.2 d LTZ,5,7,Biały,Automatyczna,2 231 cm3,183 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,271 000 km,Tak,Polska,Tak,Tak,37 000
chevrolet,2012,Orlando,1.4T LT,5,7,Czarny,Manualna,1 362 cm3,140 KM,Na przednie koła,Benzyna,Minivan,Używany,130 000 km,Tak,Niemcy,Tak,,29 900
chevrolet,2013,Cruze,Station Wagon 1.4T LTZ+,5,5,Szary,Manualna,1 362 cm3,140 KM,Na przednie koła,Benzyna,Kombi,Używany,161 424 km,Tak,Niemcy,Tak,,28 800
chevrolet,2012,Orlando,1.8 LT,5,7,Szary,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna+LPG,Minivan,Używany,207 000 km,Tak,Niemcy,Tak,Tak,26 999
chevrolet,2014,Cruze,1.8 LT+,5,5,Czarny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Kombi,Używany,127 690 km,,,Tak,,29 900
chevrolet,2012,Captiva,2.2 D LS+,5,5,Biały,Manualna,2 231 cm3,163 KM,Na przednie koła,Diesel,SUV,Używany,223 637 km,Tak,Belgia,,,29 999
chevrolet,2009,Aveo,,4,5,Czerwony,Manualna,1 206 cm3,84 KM,,Benzyna,Auta małe,Używany,61 118 km,,,Tak,,9 500
chevrolet,2013,Cruze,,5,5,Biały,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Kombi,Używany,129 000 km,Tak,,,,26 900
chevrolet,1986,Blazer,,3,2,Brązowy,Automatyczna,6 200 cm3,120 KM,4x4 (dołączany ręcznie),Diesel,SUV,Używany,10 000 km,Tak,Grecja,Tak,,35 000
chevrolet,2009,Aveo,1.2 16V Base,3,5,Niebieski,Manualna,1 206 cm3,84 KM,Na przednie koła,Benzyna,Auta małe,Używany,140 000 km,,,Tak,,6 900
chevrolet,2009,Captiva,2.4 4WD 7 Sitzer LT,5,7,Szary,Manualna,2 405 cm3,136 KM,4x4 (dołączany ręcznie),Benzyna+LPG,SUV,Używany,296 000 km,,Włochy,Tak,Tak,21 999
chevrolet,2012,Cruze,1.6 LS,5,5,Brązowy,Manualna,1 598 cm3,124 KM,Na przednie koła,Benzyna,Kompakt,Używany,159 000 km,Tak,Niemcy,,,21 999
chevrolet,2011,Spark,1.0 LS,5,5,Biały,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,167 000 km,Tak,,Tak,,11 900
chevrolet,2013,Silverado,,2,3,Czerwony,Automatyczna,5 292 cm3,315 KM,4x4 (dołączany ręcznie),Benzyna+LPG,SUV,Używany,413 000 km,Tak,Stany Zjednoczone,Tak,Tak,59 000
chevrolet,2019,Camaro,Cabriolet 6.2 V8,2,,Biały,Automatyczna,6 162 cm3,453 KM,Na tylne koła,Benzyna,Kabriolet,Używany,158 000 km,,Stany Zjednoczone,Tak,Tak,147 500
chevrolet,1984,Corvette,,2,2,Zielony,Automatyczna,5 733 cm3,205 KM,Na tylne koła,Benzyna,Coupe,Używany,56 930 km,,Stany Zjednoczone,,,52 900
chevrolet,1949,Inny,,2,,Granatowy,Manualna,3 800 cm3,100 KM,,Benzyna,SUV,Używany,100 000 km,,,Tak,,79 900
chevrolet,2012,Orlando,1.8 LS,5,7,Czarny,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna+LPG,SUV,Używany,163 234 km,,,Tak,,28 000
chevrolet,2013,Orlando,,5,7,Czarny,Manualna,1 998 cm3,163 KM,Na przednie koła,Diesel,Minivan,Używany,232 000 km,Tak,Niemcy,Tak,,29 900
chevrolet,2022,Trailblazer,,5,5,Biały,Automatyczna,1 341 cm3,156 KM,,Benzyna,SUV,Używany,25 086 km,,Kanada,Tak,,84 900
chevrolet,2005,Kalos,,3,,Złoty,Manualna,1 150 cm3,72 KM,,Benzyna,Auta małe,Używany,138 000 km,,,Tak,,5 900
chevrolet,2010,Cruze,,4,5,Czarny,Manualna,2 000 cm3,150 KM,Na przednie koła,Diesel,Sedan,Używany,172 307 km,Tak,Niemcy,,,23 800
chevrolet,2012,Cruze,Station Wagon 1.7TD LT+,5,5,Szary,Manualna,1 686 cm3,130 KM,Na przednie koła,Diesel,Kombi,Używany,225 192 km,,,Tak,,21 500
chevrolet,2013,Aveo,,5,5,Srebrny,Manualna,1 229 cm3,86 KM,Na przednie koła,Benzyna,Kompakt,Używany,113 000 km,Tak,Niemcy,Tak,Tak,19 900
chevrolet,2011,Orlando,1.8 LS+,5,7,Inny kolor,Manualna,1 796 cm3,141 KM,Na przednie koła,Benzyna,Minivan,Używany,169 600 km,Tak,,Tak,,27 900
chevrolet,1965,C-10,,2,,Biały,Automatyczna,5 700 cm3,375 KM,,Benzyna,Auta małe,Używany,99 999 km,,,Tak,,157 000
chevrolet,2010,Spark,1.0 Base,5,5,Srebrny,Manualna,995 cm3,68 KM,Na przednie koła,Benzyna,Auta małe,Używany,53 300 km,Tak,,Tak,Tak,14 900
chevrolet,2009,Epica,2.0 d LT,4,5,Złoty,Manualna,1 991 cm3,150 KM,Na przednie koła,Diesel,Sedan,Używany,200 000 km,Tak,Belgia,Tak,Tak,11 600
chevrolet,1999,Camaro,,2,4,Niebieski,Automatyczna,3 822 cm3,200 KM,Na tylne koła,Benzyna,Coupe,Używany,95 115 km,Tak,Szwecja,Tak,Tak,35 900
chevrolet,2023,Traverse,,5,7,Szary,Automatyczna,3 600 cm3,310 KM,Na przednie koła,Benzyna,SUV,Używany,12 417 km,,,,,119 000
chevrolet,2009,Captiva,2.0 4WD 5 Sitzer Automatik LT Exclusive,5,5,Srebrny,Automatyczna,1 991 cm3,150 KM,4x4 (dołączany automatycznie),Diesel,SUV,Używany,183 241 km,Tak,Niemcy,Tak,,20 800
chevrolet,2013,Cruze,,5,5,Czerwony,Manualna,1 362 cm3,140 KM,Na przednie koła,Benzyna,Kompakt,Używany,180 000 km,Tak,Niemcy,Tak,Tak,13 800
